"lemon","partOfSpeech","writtenForm (singular)","writtenForm (plural)","preposition","SyntacticFrame","copulativeArg","prepositionalAdjunct","sense","reference","domain","range","QALD"
"height_of","noun","height","-","of","NounPPFrame","range","domain","1","wd:P2048","wd:Q4610556","xsd:double","Qald9-training"
"creator-of","noun","creator","creators","of","NounPPFrame","range","domain","1","wd:P170","wd:Q24229398","wd:Q19088","Qald9-training"
"population-of","noun","population","-","of","NounPPFrame","range","domain","1","wd:P1082","wd:Q3957","xsd:nonNegativeInteger","Qald9-training"
"causeOfDeath_of","noun","cause of death","causes of death","of","NounPPFrame","range","domain","1","wd:P509","wd:Q19088","xsd:String","Qald9-training"
"birthYear_of","noun","birth year","-","of","NounPPFrame","range","domain","1","wd:P569","wd:Q19088","xsd:gYear","Qald9-training"
"deathDate-of","noun","death date","-","of","NounPPFrame","range","domain","1","wd:P570","wd:Q19088","xsd:date","Qald9-training"
"areaCode_of","noun","area code","-","of","NounPPFrame","range","domain","1","wd:P473",,"xsd:string","Qald9-training"
"party-of","noun","party","parties","of","NounPPFrame","range","domain","1","wd:P102","wd:Q19088","xsd:string","Qald9-training"
"elevation-of","noun","elevation","-","of","NounPPFrame","range","domain","1","wd:P2044","wd:Q8502","xsd:double","Qald9-training"
"artisticMovement_of","noun","artistic movement","artistic movements","of","NounPPFrame","range","domain","1","wd:P135","wd:Q19088","owl:Thing","Qald9-training"
"music_by","noun","music","musics","by","NounPPFrame","domain","range","1","wd:P86","wd:Q19088","wd:Q2188189","Qald9-training"
"wife-of","noun","wife","wives","of","NounPPFrame","range","domain","1","wd:P26","wd:Q19088","wd:Q19088","Qald9-training"
"editor_of","noun","editor","editors","of","NounPPFrame","range","domain","1","wd:P98",,"wd:Q19088","Qald9-training"
"child_of","noun","child","children","of","NounPPFrame","range","domain","1","wd:P40","wd:Q19088","wd:Q19088","Qald9-training"
"deathPlace","noun","death place","-","of","NounPPFrame","range","domain","1","wd:P20","wd:Q19088","wd:Q3957","Qald9-training"
"doctoralSupervisor_of","noun","doctoral supervisor","doctoral supervisors","of","NounPPFrame","range","domain","1","wd:P184","wd:Q901","wd:Q19088","Qald9-training"
"residence-of","noun","residence","residences","of","NounPPFrame","range","domain","1","wd:P551","wd:Q3957","wd:Q19088","Qald9-training"
"son_of","noun","son","sons","of","NounPPFrame","range","domain","1","wd:P40","wd:Q19088","wd:Q19088","Qald9-training"
"headquarter_of","noun","headquarter","-","of","NounPPFrame","range","domain","1","wd:P159","wd:Q476028","wd:Q3957","Qald9-training"
"founder-of_2","noun","founder","founders","of","NounPPFrame","range","domain","1","wd:P112","wd:Q476028","wd:Q19088","Qald9-training"
"author_of","noun","author","authors","of","NounPPFrame","range","domain","1","wd:P50",,"wd:Q19088","Qald9-training"
"composer-of","noun","music composer","music composers","of","NounPPFrame","range","domain","1","wd:P86","wd:Q15416","wd:Q19088","Qald9-training"
"book_by","noun","book","books","by","NounPPFrame","domain","range","1","wd:P50","wd:Q7397","wd:Q19088","Qald9-training"
"daughter_of","noun","daughter","daughters","of","NounPPFrame","range","domain","1","wd:P40","wd:Q19088","wd:Q19088","Qald9-training"
"team_of","noun","team","teams","of","NounPPFrame","domain","range","1","wd:P118",,"wd:Q24229398","Qald9-training"
"address-of","noun","address","addresses","of","NounPPFrame","range","domain","1","wd:P969","wd:Q41176","xsd:string","Qald9-training"
"diameter-of","noun","diameter","diameters","of","NounPPFrame","range","domain","1","wd:P2386",,"xsd:double","Qald9-training"
"employer-of","noun","employer","employers","of","NounPPFrame","range","domain","1","wd:P108","wd:Q19088","wd:Q3957","Qald9-training"
"isbn-of","noun","isbn","isbns","of","NounPPFrame","range","domain","1","wd:P212","wd:Q7397","xsd:string","Qald9-training"
"flag-of","noun","flag","flags","of","NounPPFrame","range","domain","1","wd:P41","wd:Q3957","xsd:string","Qald9-training"
"numberOfStudents-of","noun","number Of Student","number Of Students","of","NounPPFrame","range","domain","1","wd:P2196","wd:Q2385804","xsd:nonNegativeInteger","Qald9-training"
"postCode-of","noun","post code","-","of","NounPPFrame","range","domain","1","wd:P281","wd:Q3957","xsd:nonNegativeInteger","Qald9-training"
"releaseDate-of","noun","release date","-","of","NounPPFrame","range","domain","1","wd:P577","wd:Q7397","xsd:date","Qald9-training"
"religion-of","noun","religion","-","of","NounPPFrame","range","domain","1","wd:P140","wd:Q19088","xsd:string","Qald9-training"
"owner_of_1","noun","owner","owners","of","NounPPFrame","range","domain","1","wd:P127",,"wd:Q19088","Qald9-training"
